# Makiyaj Cosmetics (Azi Aslanov) - Part 15
Location: Azi Aslanov metro, Baku
Format: '- <product> | <price in AZN> | Заказать: <WhatsApp order link>'.
Total in part: 200

- Masil 5 Probiotics Apple Vinegar Shampoo, 500 мл — шампунь | 30 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520PROBIOTICS%2520APPLE%2520VINEGAR%2520SHAMPOO%2520500%2520ML&t=MASIL%205%20PROBIOTICS%20APPLE%20VINEGAR%20SHAMPOO%20500%20ML
- Masil 5 Probiotics Color Radiance Shampoo, 300 мл — шампунь | 25 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520PROBIOTICS%2520COLOR%2520RADIANCE%2520SHAMPOO%2520300%2520ML&t=MASIL%205%20PROBIOTICS%20COLOR%20RADIANCE%20SHAMPOO%20300%20ML
- Masil 5 Probiotics Color Radiance Shampoo, 500 мл — шампунь | 30 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520PROBIOTICS%2520COLOR%2520RADIANCE%2520SHAMPOO%2520500%2520ML&t=MASIL%205%20PROBIOTICS%20COLOR%20RADIANCE%20SHAMPOO%20500%20ML
- Masil 5 Probiotics Perfect Volume Shampoo, 300 мл — шампунь | 25 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520PROBIOTICS%2520PERFECT%2520VOLUME%2520SHAMPOO%2520300%2520ML&t=MASIL%205%20PROBIOTICS%20PERFECT%20VOLUME%20SHAMPOO%20300%20ML
- Masil 5 Probiotics Perfect Volume Shampoo, 500 мл — шампунь | 30 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520PROBIOTICS%2520PERFECT%2520VOLUME%2520SHAMPOO%2520500%2520ML&t=MASIL%205%20PROBIOTICS%20PERFECT%20VOLUME%20SHAMPOO%20500%20ML
- Masil 5 Probiotics Scalp Scaling Shampoo, 300 мл — шампунь | 21 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520PROBIOTICS%2520SCALP%2520SCALING%2520SHAMPOO%2520300%2520ML&t=MASIL%205%20PROBIOTICS%20SCALP%20SCALING%20SHAMPOO%20300%20ML
- Masil 5 Probiotics Scalp Scaling Shampoo, 500 мл — шампунь | 30 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520PROBIOTICS%2520SCALP%2520SCALING%2520SHAMPOO%2520500%2520ML&t=MASIL%205%20PROBIOTICS%20SCALP%20SCALING%20SHAMPOO%20500%20ML
- Masil 5 Salon NO Yellow Shampoo, 300 мл — шампунь | 21 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520MASIL%25205%2520SALON%2520NO%2520YELLOW%2520SHAMPOO%2520300%2520ML&t=MASIL%205%20SALON%20NO%20YELLOW%20SHAMPOO%20300%20ML
